Date,PG,KO,JNJ,WMT,MSFT,AAPL,MCD,HD,DOCU,META,NVDA,NFLX,AMD,TSLA,V,UNH,GOOGL,BRKb,JPM,PEP
6/5/2025,159.21,71.71,154.47,98.51,433.31,198.51,316.79,359.39,81.65,587.31,113.54,1137.69,98.62,275.35,347.70,394.51,163.23,512.33,249.25,130.90
5/5/2025,158.83,71.70,155.00,99.33,436.17,198.89,315.72,361.73,82.44,599.27,113.82,1134.06,100.59,280.26,348.64,404.81,164.21,512.15,252.56,130.74
2/5/2025,160.52,71.65,156.12,98.75,435.28,205.35,311.96,364.52,82.13,597.02,114.50,1156.49,98.80,287.21,347.60,399.92,164.03,539.80,252.51,131.99
1/5/2025,159.98,71.29,154.46,97.41,425.40,213.32,313.64,358.30,80.85,572.21,111.61,1133.47,96.65,280.52,342.45,400.68,161.30,530.23,246.89,133.75
30/4/2025,162.57,72.55,156.31,97.25,395.26,212.50,319.65,360.49,81.75,549.00,108.92,1131.72,97.35,282.16,345.50,411.44,158.80,533.25,244.62,133.55
29/4/2025,162.26,72.35,155.91,96.04,394.04,211.21,314.50,359.00,82.27,554.44,109.02,1125.64,96.06,292.03,341.52,409.23,160.16,534.57,244.62,135.58
28/4/2025,161.85,71.79,155.35,95.22,391.16,210.14,316.81,356.92,82.03,549.74,108.73,1110.38,96.39,285.88,337.51,420.00,160.61,530.94,243.22,134.31
25/4/2025,161.02,71.91,154.58,95.09,391.85,209.28,316.74,357.58,82.81,547.27,111.01,1101.53,96.64,284.95,335.17,418.64,161.96,530.96,243.55,133.76
24/4/2025,159.53,72.52,154.93,95.84,387.30,208.37,316.22,359.64,81.67,533.15,106.43,1096.87,94.47,259.51,335.71,424.25,159.28,531.64,244.64,133.38
23/4/2025,165.73,73.30,155.38,94.96,374.39,204.60,318.48,356.42,78.01,520.27,102.71,1049.59,90.39,250.74,334.37,427.96,155.35,526.81,240.88,135.31
22/4/2025,167.88,73.90,157.75,94.85,366.82,199.74,319.08,354.43,74.20,500.28,98.89,1040.34,86.26,237.97,331.40,427.18,151.47,520.79,235.59,142.26
21/4/2025,165.75,72.77,156.92,92.41,359.12,193.16,308.72,346.90,71.89,484.66,96.91,987.91,85.56,227.50,320.10,425.33,147.67,506.92,228.99,143.46
17/4/2025,170.63,73.00,157.47,93.22,367.78,196.98,311.30,355.06,75.42,501.48,101.49,973.03,87.50,241.37,329.61,454.11,151.16,518.21,231.96,141.73
16/4/2025,166.39,71.68,153.91,91.19,371.61,194.27,309.10,345.99,76.39,502.31,104.49,961.63,88.29,241.55,331.33,585.04,153.33,516.45,229.61,142.84
15/4/2025,168.47,71.86,153.62,93.97,385.73,202.14,312.48,354.11,77.49,521.52,112.20,976.28,95.29,254.11,335.81,583.59,156.31,528.17,233.13,140.09
14/4/2025,169.13,72.45,154.36,94.73,387.81,202.52,316.07,357.20,75.26,531.48,110.71,931.28,94.50,252.35,335.18,587.06,159.07,529.52,234.72,142.84
11/4/2025,166.91,71.43,151.73,92.80,388.45,198.15,309.90,353.86,74.35,543.57,110.93,918.29,93.40,252.31,333.40,599.47,157.14,524.11,236.20,146.75
10/4/2025,163.56,70.76,148.69,90.61,381.35,190.42,306.78,353.62,73.22,546.29,107.57,921.17,88.70,252.40,324.61,594.40,152.82,515.81,227.11,144.43
9/4/2025,162.32,69.95,150.97,89.60,390.49,198.85,303.96,355.39,78.59,585.77,114.33,945.47,96.84,272.20,332.43,578.50,158.71,521.41,234.34,144.14
8/4/2025,158.39,68.42,150.00,81.79,354.56,172.42,299.83,335.24,70.35,510.45,96.30,870.40,78.21,221.86,308.27,553.08,144.70,492.64,216.87,145.59
7/4/2025,160.23,68.37,150.62,83.83,357.86,181.46,299.89,341.51,71.95,516.25,97.64,867.83,83.64,233.29,312.32,524.70,146.75,490.38,214.44,140.30
4/4/2025,163.75,69.93,153.24,83.19,359.84,188.38,300.11,353.90,72.21,504.73,94.31,855.86,85.76,239.43,313.13,525.05,145.60,493.54,210.28,143.19
3/4/2025,172.39,73.18,159.82,87.26,373.11,203.19,318.27,355.91,77.37,531.62,101.80,917.05,93.80,267.28,339.39,540.44,150.72,530.16,228.69,146.61
2/4/2025,169.50,71.33,155.36,89.76,382.14,223.89,311.58,370.89,83.40,583.93,110.42,935.52,102.96,282.76,346.33,523.20,157.04,537.72,245.82,151.37
1/4/2025,170.56,71.87,153.25,88.83,382.19,223.19,313.63,365.52,82.69,586.00,110.15,928.38,102.78,268.46,346.35,523.12,157.07,532.99,243.66,149.12
31/3/2025,170.42,71.62,165.84,87.79,375.39,222.13,312.37,366.49,81.40,576.36,108.38,932.53,102.74,259.16,350.46,523.75,154.64,532.58,245.30,149.67
28/3/2025,168.03,70.37,163.71,85.15,378.80,217.90,307.09,358.15,83.18,576.74,109.67,933.85,103.22,263.55,342.85,516.04,154.33,526.31,242.85,149.94
27/3/2025,168.71,70.74,163.13,85.63,390.58,223.85,312.69,362.73,85.65,602.58,111.43,976.72,106.65,273.13,349.86,515.72,162.24,534.52,248.12,149.27
26/3/2025,166.58,70.02,161.72,85.21,389.97,221.53,313.58,362.13,86.91,610.98,113.76,970.65,110.19,272.06,344.18,518.20,165.06,533.21,251.03,149.67
25/3/2025,162.85,68.81,161.02,84.76,395.16,223.75,306.92,360.99,89.39,626.31,120.69,997.28,114.81,288.14,344.62,513.43,170.56,528.87,251.13,148.64
24/3/2025,165.65,68.95,163.29,87.49,393.08,220.73,305.67,363.77,89.00,618.85,121.41,971.99,113.85,278.39,343.87,516.50,167.68,525.85,248.06,145.54
21/3/2025,166.69,68.67,163.63,85.98,391.26,218.27,305.44,351.15,88.06,596.25,117.70,960.29,106.44,248.71,335.66,516.85,163.99,521.91,241.63,146.45
20/3/2025,167.55,69.71,163.02,85.81,386.84,214.10,307.00,355.52,85.11,586.00,118.53,950.84,107.14,236.26,339.50,511.30,162.80,528.73,239.01,145.45
19/3/2025,168.57,69.28,162.99,86.33,387.82,215.24,306.92,353.42,85.61,584.06,117.52,959.49,106.23,235.86,339.87,503.20,163.89,525.27,239.11,147.15
18/3/2025,167.71,69.38,164.25,85.59,383.52,212.69,303.60,349.57,85.01,582.36,115.43,929.98,103.51,225.31,334.77,503.80,160.67,523.14,234.97,148.11
17/3/2025,169.76,70.12,162.84,87.46,388.70,214.00,303.97,354.13,83.43,604.90,119.53,950.02,104.59,238.01,334.55,499.02,164.29,523.01,233.93,148.99
14/3/2025,167.97,69.16,162.81,85.35,388.56,213.49,299.83,351.31,85.76,607.60,121.67,918.00,100.97,249.98,331.80,488.65,165.49,514.60,232.44,151.34
13/3/2025,168.59,69.62,162.99,84.50,378.77,209.68,297.50,347.25,74.70,590.64,115.58,890.17,98.11,240.68,328.55,481.52,162.76,504.25,225.19,148.59
12/3/2025,168.37,69.94,162.85,85.20,383.27,216.98,299.40,364.73,80.13,619.56,115.74,919.68,100.79,248.09,332.84,481.11,167.11,495.94,227.90,148.34
11/3/2025,173.12,71.04,165.86,87.44,380.45,220.84,306.76,368.16,79.50,605.71,108.76,895.10,96.76,230.58,332.14,486.04,164.04,496.25,229.14,148.17
10/3/2025,176.26,71.45,167.70,87.82,380.16,227.48,317.25,374.65,77.86,597.99,106.98,866.68,96.63,222.15,341.48,480.22,165.87,497.10,232.22,152.33
7/3/2025,175.95,71.43,166.69,91.72,393.31,239.07,321.29,376.80,79.83,625.66,112.69,891.11,100.31,262.67,345.32,493.48,173.86,495.62,242.28,156.25
6/3/2025,174.66,70.46,165.83,94.64,396.89,235.33,310.37,381.73,79.77,627.93,110.57,906.36,98.85,263.45,344.16,487.72,172.35,497.84,246.54,154.44
5/3/2025,174.61,70.08,165.12,95.98,401.02,235.74,307.45,386.35,82.36,656.47,117.30,990.92,101.67,279.10,352.68,475.98,173.02,498.50,251.53,154.61
4/3/2025,173.18,70.19,165.42,94.97,388.61,235.93,305.77,381.68,82.06,640.00,115.99,972.58,100.75,272.04,352.23,474.61,170.92,495.86,250.25,153.88
3/3/2025,175.59,72.32,167.28,97.59,388.49,238.03,304.29,389.69,81.70,655.05,114.06,973.70,98.23,284.65,361.82,467.05,167.01,510.08,260.62,154.19
28/2/2025,173.84,71.21,165.02,98.61,396.99,241.84,308.33,396.60,83.17,668.20,124.92,980.56,99.86,292.98,362.71,474.96,170.28,513.83,264.65,155.99
27/2/2025,171.97,70.87,163.73,96.79,392.53,237.30,309.95,390.27,81.28,658.24,120.15,963.07,99.51,281.95,355.74,468.56,168.50,502.41,259.05,153.47
26/2/2025,171.30,70.80,163.08,96.20,399.73,240.36,304.27,390.48,82.28,673.70,131.28,990.06,104.74,290.80,350.63,463.59,172.73,494.10,258.79,152.02
25/2/2025,172.65,71.49,166.09,97.69,397.90,247.04,310.72,393.29,81.66,657.50,126.63,977.24,103.96,302.80,352.09,470.38,175.42,499.82,257.40,151.51
